# omegamh2 omegabh2 H0
1.453769000000000033e-01 2.210432999999999842e-02 6.623291000000000395e+01
1.430854000000000015e-01 2.231413999999999967e-02 6.731689000000000078e+01
1.444728999999999874e-01 2.233181000000000055e-02 6.675048999999999921e+01
1.442072000000000076e-01 2.211799000000000057e-02 6.663330000000000553e+01
1.422663000000000122e-01 2.220656000000000019e-02 6.741455000000000553e+01
1.434616999999999976e-01 2.237358999999999876e-02 6.710693000000000552e+01
1.434786000000000117e-01 2.228344000000000158e-02 6.716064000000000078e+01
1.421939000000000120e-01 2.239116000000000023e-02 6.767333999999999605e+01
1.442955999999999961e-01 2.225736999999999854e-02 6.667725000000000080e+01
1.412344000000000099e-01 2.236215000000000078e-02 6.779541000000000395e+01
1.417982000000000131e-01 2.250933000000000100e-02 6.806395999999999447e+01
1.454591000000000078e-01 2.207734000000000085e-02 6.615479000000000553e+01
1.450037000000000131e-01 2.197953000000000059e-02 6.611083999999999605e+01
1.429331000000000074e-01 2.245255000000000167e-02 6.756104000000000553e+01
1.403752000000000055e-01 2.253613000000000144e-02 6.849365000000000236e+01
1.449043999999999888e-01 2.240939000000000125e-02 6.684814000000000078e+01
1.451778999999999986e-01 2.227093000000000128e-02 6.655517999999999290e+01
1.432044000000000095e-01 2.209695000000000062e-02 6.669678000000000395e+01
1.432538999999999896e-01 2.190270999999999885e-02 6.681395999999999447e+01
1.418548000000000031e-01 2.256201000000000040e-02 6.791259999999999764e+01
1.431560000000000055e-01 2.235849999999999990e-02 6.721435999999999922e+01
1.461495999999999906e-01 2.212271999999999850e-02 6.578857000000000710e+01
1.418066000000000049e-01 2.268776999999999947e-02 6.826416000000000395e+01
1.447319999999999995e-01 2.241111999999999965e-02 6.689696999999999605e+01
1.419500999999999957e-01 2.247243000000000157e-02 6.778076000000000079e+01
1.420191000000000092e-01 2.243349000000000038e-02 6.778076000000000079e+01
1.433057000000000081e-01 2.253872000000000167e-02 6.748779000000000394e+01
1.430643000000000054e-01 2.235175000000000009e-02 6.723877000000000237e+01
1.424583000000000099e-01 2.230023000000000075e-02 6.746826000000000079e+01
1.422676999999999969e-01 2.252236999999999989e-02 6.789306999999999448e+01
1.430647999999999920e-01 2.240361999999999909e-02 6.732666000000000395e+01
1.435195999999999972e-01 2.231404999999999847e-02 6.712645999999999447e+01
1.450744999999999951e-01 2.236675000000000121e-02 6.660889000000000237e+01
1.416618000000000044e-01 2.234681000000000167e-02 6.781494000000000710e+01
1.429336999999999969e-01 2.250328999999999871e-02 6.761475000000000080e+01
1.433058000000000110e-01 2.223429000000000030e-02 6.705810999999999922e+01
1.415068999999999910e-01 2.245023999999999978e-02 6.794189000000000078e+01
1.433964000000000072e-01 2.228066999999999895e-02 6.715088000000000079e+01
1.429340000000000055e-01 2.240518999999999844e-02 6.742431999999999448e+01
1.436006999999999978e-01 2.212884999999999852e-02 6.691161999999999921e+01
1.420401000000000025e-01 2.228714000000000042e-02 6.771729000000000553e+01
1.422703999999999913e-01 2.205539999999999931e-02 6.735595999999999606e+01
1.421808999999999990e-01 2.249220999999999859e-02 6.776122999999999763e+01
1.421817999999999971e-01 2.219753000000000004e-02 6.734130999999999290e+01
1.436132999999999993e-01 2.216587000000000071e-02 6.685303000000000395e+01
1.447527000000000119e-01 2.230038999999999980e-02 6.679443000000000552e+01
1.453254999999999963e-01 2.261043999999999901e-02 6.684814000000000078e+01
1.411314999999999931e-01 2.239694999999999880e-02 6.795166000000000395e+01
1.416556999999999955e-01 2.222767000000000145e-02 6.774657999999999447e+01
1.415975999999999901e-01 2.239201999999999859e-02 6.776610999999999763e+01
1.419601000000000057e-01 2.222237999999999991e-02 6.742431999999999448e+01
1.422172999999999909e-01 2.226478999999999958e-02 6.762451000000000079e+01
1.428065000000000029e-01 2.228043999999999858e-02 6.730713000000000079e+01
1.437226000000000059e-01 2.236596000000000070e-02 6.703369000000000710e+01
1.449718000000000118e-01 2.200045000000000125e-02 6.622314000000000078e+01
1.429032000000000080e-01 2.245302999999999882e-02 6.761963000000000079e+01
1.455693000000000126e-01 2.238659999999999956e-02 6.638916000000000395e+01
1.464816999999999925e-01 2.208026999999999906e-02 6.574463000000000079e+01
1.428084000000000020e-01 2.240854000000000110e-02 6.743895999999999447e+01
1.446803000000000117e-01 2.225297000000000039e-02 6.653076000000000079e+01
1.436977999999999867e-01 2.227414000000000130e-02 6.700439000000000078e+01
1.433911999999999964e-01 2.220501000000000072e-02 6.684326000000000079e+01
1.441439999999999944e-01 2.207293999999999923e-02 6.658935999999999922e+01
1.438106000000000106e-01 2.233744000000000007e-02 6.706298999999999921e+01
1.446411999999999975e-01 2.233030999999999905e-02 6.688232000000000710e+01
1.432972000000000135e-01 2.237284000000000148e-02 6.720458999999999605e+01
1.431216999999999906e-01 2.231908000000000156e-02 6.729735999999999763e+01
1.404139000000000082e-01 2.254369999999999985e-02 6.860107000000000710e+01
1.438064000000000009e-01 2.230901999999999885e-02 6.704345999999999606e+01
1.435908999999999935e-01 2.239181000000000157e-02 6.726806999999999448e+01
1.436594999999999955e-01 2.234871999999999900e-02 6.712157999999999447e+01
1.425263999999999975e-01 2.241063000000000083e-02 6.756104000000000553e+01
1.420433000000000112e-01 2.247773999999999953e-02 6.784911999999999921e+01
1.420958999999999972e-01 2.243422000000000124e-02 6.779541000000000395e+01
1.442882000000000053e-01 2.211364999999999859e-02 6.663818000000000552e+01
1.425095000000000112e-01 2.234944000000000167e-02 6.746338000000000079e+01
1.440881999999999996e-01 2.222729999999999845e-02 6.679443000000000552e+01
1.417345999999999884e-01 2.230562999999999990e-02 6.772705000000000553e+01
1.445750000000000091e-01 2.239002000000000006e-02 6.687255999999999290e+01
1.417854000000000059e-01 2.255851000000000037e-02 6.805907999999999447e+01
